Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(10:10),128,farhan_logs/Log_194_Automated_Test_Qwen1.5-1.8B-Chat//log_194_Qwen1.5-1.8B-Chat,92,8,0,85,12,3,23,71,6
01-ai/Yi-6B-Chat,6B-Chat,-1,(8:8),128,farhan_logs/Log_195_Automated_Test_Yi-6B-Chat//log_195_Yi-6B-Chat,70,30,0,89,11,0,59,41,0
google/gemma-2b-it,2b-it,-1,(6.5:6.5),128,farhan_logs/Log_196_Automated_Test_gemma-2b-it//log_196_gemma-2b-it,64,36,0,59,41,0,36,64,0
google/gemma-7b-it,7b-it,-1,(6.5:6.5),128,farhan_logs/Log_197_Automated_Test_gemma-7b-it//log_197_gemma-7b-it,68,32,0,90,10,0,40,60,0
meta-llama/Llama-2-7b-chat-hf,7b-chat,-1,(6:6),128,farhan_logs/Log_198_Automated_Test_Llama-2-7b-chat-hf//log_198_Llama-2-7b-chat-hf,56,44,0,91,9,0,5,95,0
meta-llama/Llama-2-13b-chat-hf,13b-chat,-1,(6:6),128,farhan_logs/Log_199_Automated_Test_Llama-2-13b-chat-hf//log_199_Llama-2-13b-chat-hf,38,61,1,43,57,0,37,63,0
meta-llama/Meta-Llama-3-8B-Instruct,8B-Instruct,-1,(12:10),128,farhan_logs/Log_200_Automated_Test_Meta-Llama-3-8B-Instruct//log_200_Meta-Llama-3-8B-Instruct,53,47,0,95,5,0,38,62,0
,,,,,,,,,,,,,,
Model name,Init->Opin,Init->Neut,,Model name,Init->Neut,Init->Opin,,,,,,,,
Qwen/Qwen1.5-1.8B-Chat,92,8,,Qwen/Qwen1.5-1.8B-Chat,8,92,,,,,,,,
01-ai/Yi-6B-Chat,70,30,,01-ai/Yi-6B-Chat,30,70,,,,,,,,
google/gemma-2b-it,64,36,,google/gemma-2b-it,36,64,,,,,,,,
google/gemma-7b-it,68,32,,google/gemma-7b-it,32,68,,,,,,,,
meta-llama/Llama-2-7b-chat-hf,56,44,,meta-llama/Llama-2-7b-chat-hf,44,56,,,,,,,,
meta-llama/Llama-2-13b-chat-hf,38,61,,meta-llama/Llama-2-13b-chat-hf,61,38,,,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,53,47,,meta-llama/Meta-Llama-3-8B-Instruct,47,53,,,,,,,,
,,,,,,,,,,,,,,
Model name,Opin->Opin,Opin->Neut,,Model name,Neut->Neut,Neut->Opin,,,,,,,,
Qwen/Qwen1.5-1.8B-Chat,85,12,,Qwen/Qwen1.5-1.8B-Chat,71,23,,,,,,,,
01-ai/Yi-6B-Chat,89,11,,01-ai/Yi-6B-Chat,41,59,,,,,,,,
google/gemma-2b-it,59,41,,google/gemma-2b-it,64,36,,,,,,,,
google/gemma-7b-it,90,10,,google/gemma-7b-it,60,40,,,,,,,,
meta-llama/Llama-2-7b-chat-hf,91,9,,meta-llama/Llama-2-7b-chat-hf,95,5,,,,,,,,
meta-llama/Llama-2-13b-chat-hf,43,57,,meta-llama/Llama-2-13b-chat-hf,63,37,,,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,95,5,,meta-llama/Meta-Llama-3-8B-Instruct,62,38,,,,,,,,
