Model name,Model Size,Layer,Coeff,Max Tokens,File Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(0:0),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(0),11,9,0,0,0,20,0,0,20
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(1:1),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(1),12,8,0,14,6,0,10,10,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(2:2),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(2),12,8,0,15,5,0,11,9,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(3:3),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(3),12,8,0,14,5,1,12,8,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(4:4),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(4),12,8,0,17,3,0,7,12,1
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(5:5),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(5),12,8,0,17,3,0,6,14,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(6:6),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(6),12,8,0,17,3,0,9,11,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(7:7),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(7),11,9,0,16,3,1,7,13,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(8:8),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(8),12,8,0,19,1,0,10,9,1
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(9:9),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(9),12,8,0,20,0,0,8,12,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(10:10),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(10),13,7,0,19,1,0,9,11,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(11:11),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(11),13,7,0,18,2,0,6,14,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(12:12),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(12),12,8,0,17,3,0,8,12,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(13:13),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(13),11,9,0,18,2,0,4,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(14:14),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(14),11,9,0,19,1,0,5,15,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(15:15),128,farhan_logs/Log_121_Coeff_Finding_Qwen1.5-1.8B-Chat//log_121_Qwen1.5-1.8B-Chat(15),12,8,0,16,4,0,4,16,0
