Model name,Model Size,Layer,Coeff,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Layer,Coeff,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,-1,(12,12),128,farhan_logs/Log_120_Automated_Test_Qwen1.5-1.8B-Chat//log_120_Qwen1.5-1.8B-Chat,42,58,0,85,5,10,66,30,4
Qwen/Qwen1.5-7B-Chat,7B-Chat,-1,(11,12),128,farhan_logs/Log_121_Automated_Test_Qwen1.5-7B-Chat//log_121_Qwen1.5-7B-Chat,6,94,0,67,30,3,24,76,0
Qwen/Qwen1.5-14B-Chat,14B-Chat,-1,(11,11),128,farhan_logs/Log_122_Automated_Test_Qwen1.5-14B-Chat//log_122_Qwen1.5-14B-Chat,4,96,0,89,10,1,88,12,0
01-ai/Yi-6B-Chat,6B-Chat,-1,(6,7),128,farhan_logs/Log_123_Automated_Test_Yi-6B-Chat//log_123_Yi-6B-Chat,15,84,1,28,72,0,2,98,0
google/gemma-2b-it,2b-it,-1,(2,3),128,farhan_logs/Log_124_Automated_Test_gemma-2b-it//log_124_gemma-2b-it,11,88,1,37,63,0,81,19,0
google/gemma-7b-it,7b-it,-1,(3,5),128,farhan_logs/Log_125_Automated_Test_gemma-7b-it//log_125_gemma-7b-it,7,93,0,29,71,0,89,11,0
Model name,Model Size,Layer,Coeff,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
meta-llama/Llama-2-7b-chat-hf,7b-chat,-1,(4,4),128,farhan_logs/Log_126_Automated_Test_Llama-2-7b-chat-hf//log_126_Llama-2-7b-chat-hf,11,89,0,23,77,0,11,89,0
Model name,Model Size,Layer,Coeff,Max Tokens,Log Path,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
meta-llama/Llama-2-13b-chat-hf,13b-chat,-1,(10:10),128,farhan_logs/Log_127_Automated_Test_Llama-2-13b-chat-hf//log_127_Llama-2-13b-chat-hf,4,96,0,80,20,0,82,18,0
